id,longitude,latitude,name,
1033,2.37038574361,48.8461808523,12102 - DIDEROT BERCY,
1034,2.37880846495,48.8211567306,13120 - VITRY DESAULT,
1035,2.34568654356,48.8627939674,01008 - LES HALLES SAINT EUSTACHE,
1036,2.36329297816,48.8499304001,04105 - MORLAND,
1037,2.30117920502,48.8702033772,08549 - PLACE DUNANT,
1038,2.3722413032,48.871704585,10024 - BUISSON SAINT LOUIS,
1039,2.26207477575,48.845101205,16037 - MOLITOR - MICHEL ANGE,
1040,2.2637021397,48.8402130004,16041 - VERSAILLES,
1041,2.32038286215,48.8877957294,17110 - LEGENDRE,
1042,2.31177972293,48.8952895066,17114 - PORTE DE CLICHY,
1043,2.30010108395,48.8917994198,17116 - REIMS,
1044,2.36284953016,48.8896006017,18109 - RIQUET PAJOL,
1045,2.3760762743,48.8805289171,19119 - BOURET PAILLERON,
1046,2.41228388151,48.8538640996,20009 - DOCTEUR DEJERINE,
1047,2.38794380567,48.8655156445,20031 - DURIS,
